sno,Hotel_Name,city,location,number_of_reviews,user_ratings,Star_Rating,review_score
162,Hotel New Otani Tokyo Garden Tower,Tokyo,"102-8578 Tokyo-to, Chiyoda-ku Kioicho 4-1, Japan",518,8.3,3,Very good
163,Daiwa Roynet Hotel Tokyo Akabane,Tokyo,"115-0044 Tokyo-to, Kita-ku, Akabane Minami 1-9-13, Japan",1044,8.2,3,Very good
164,Hotel Lumiere Nishikasai,Tokyo,"134-0088 Tokyo-to, Edogawa-ku Nishikasai 6-20-3, Japan",1219,8.1,5,Very good
165,Hotel Chinzanso Tokyo,Tokyo,"112-8680 Tokyo-to, Bunkyo-ku, Sekiguchi 2-10-8, Japan",704,9.2,5,Superb
166,"Mandarin Oriental, Tokyo",Tokyo,"103-8328 Tokyo-to, Chuo-ku Nihonbashi Muromachi 2-1-1, Japan",435,9.1,5,Superb
167,Royal Park Hotel,Tokyo,"103-8520 Tokyo-to, Chuo-ku Nihonbashi Kakigara-cho 2-1-1, Japan",852,8.4,3,Very good
168,Akihabara Washington Hotel,Tokyo,"101-0025 Tokyo-to, Chiyoda-ku Kanda Sakuma-cho 1-8-3, Japan",2606,8.3,4,Very good
169,Hotel Gracery Ginza,Tokyo,"104-0061 Tokyo-to, Chuo-ku Ginza  7-10-1, Japan",736,8.0,4,Very good
170,Hotel Gracery Shinjuku,Tokyo,"160-0021 Tokyo-to, Shinjuku-ku Kabukicho 1-19-1, Japan",3427,8.2,4,Very good
171,Hotel East 21 Tokyo,Tokyo,"135-0016 Tokyo-to, Koto-ku Toyo  6-3-3 , Japan",1184,8.5,3,Very good
172,Keisei Richmond Hotel Tokyo Kinshicho,Tokyo,"130-0022 Tokyo-to, Sumida-ku Kotobashi 3-2-7, Japan",451,8.7,3,Fabulous
173,Sakura Cross Hotel Ueno Iriya Annex,Tokyo,"110-0013 Tokyo-to, Taito-ku Iriya 1-21-7, Japan",846,9.0,3,Superb
174,Hotel Oriental Express Tokyo Kamata,Tokyo,"144-0035 Tokyo-to, Ota-ku Minamikamata  1-3-15, Japan",2631,8.4,3,Very good
175,OTHER SPACE Hotelー HOTEL K3 asakusaー,Tokyo,"111-0032 Tokyo-to, Taito-ku Asakusa 3-4-10, Japan",391,8.7,3,Fabulous
176,Shiinamachi house,Tokyo,"171-0014 Tokyo-to, 豊島区池袋４−３５−２, Japan",0,0.0,2,
