Hotel_Name,wifi_box,location,number_of_reviews,user_ratings,Star_Rating,review_score,Family_rooms,Non_Smoking_Rooms,Restaurant,bar,Heating,Lifts,Breakfast,Single_Bed,Double_bed,Room_type,price
"Hotel Lav Kush Deluxe "" 3 Min Walking from New Delhi Railway Station """,yes,"7784-7800, Arakashan Road, Ram Nagar, Behind Shiela Cinema, Paharganj, 110055 New Delhi, India",179 reviews,7.3,3 out of 5,Good,yes,no,no,NA,yes,yes,Vegetarian,NA,double bed,Deluxe Room,"₹ 2,182"
OYO Home The Premium Villa Near Select Citywalk Mall,no,"A-20, Khanpur Deoli Roadnull, 110062 New Delhi, India",16 reviews,3.3,3 out of 5,Poor,yes,yes,no,NA,no,yes,NA,NA,double bed,Apartment,"₹ 1,263"
OYO Flagship Sky House,no,"plot no 16 Pocket-8, Kalkaji Extension, Block A 8, Tughlakabad Extension, Delhi, 110019 New Delhi, India",NA,NA,2 out of 5,NA,no,no,no,NA,no,no,NA,NA,double bed,Classic Triple Room,"₹ 1,263"
Florence Residency & Riviera Inn,yes,"C Block Road, Rohini, 110085 New Delhi, India",1 review,1.0,3 out of 5,Bad,yes,yes,no,Bar,no,no,NA,NA,double bed,Deluxe King Room,"₹ 1,980"
Goel Residency,no,"A-1/84 Sector-8, Rohini, Rohini, 110085 New Delhi, India",16 reviews,2.9,3 out of 5,Very poor,yes,no,no,NA,no,no,Vegetarian,single bed,double bed,Super Deluxe Double Room,"₹ 1,674"
SPOT ON Hotel Kabila,no,"Shri Krishan Dass Road, Block 26I, Nai Walan, Karol Bagh, Karol bagh, 110005 New Delhi, India",16 reviews,2.6,3 out of 5,Very poor,no,no,no,NA,no,no,Continental,NA,double bed,Classic Triple Room,₹ 835
Hotel Oscar,yes,"C-2/11,SDA,HAUZ KHAS,NEW DELHI, Hauz Khas, 110016 New Delhi, India",23 reviews,4.4,4 out of 5,Disappointing,no,yes,no,NA,yes,yes,"Continental, American",single bed,double bed,Standard Double Room,"₹ 2,858"
FabHotel F9 NFC,yes,"Block D, 7/1B,New Friends Colony East, New Delhi, New Friends Colony, 110065 New Delhi, India",45 reviews,6.1,3 out of 5,Pleasant,no,no,no,NA,no,yes,Vegetarian,NA,double bed,Deluxe Room,"₹ 2,299"
Hotel Natraj Yes Please,yes,"1750, Chuna Mandi, Opposite Imperial Cinema, Pahar Ganj, Delhi 110055, Paharganj, 110055 New Delhi, India",443 reviews,7.7,3 out of 5,Good,yes,yes,no,Bar,no,yes,NA,single bed,double bed,[Sanitized] Deluxe Double Room,"₹ 3,239"
FabHotel Silver Crown,yes,"C-31, Gali Number 2, MBR Enclave Pochanpur Colony Sector 23, Dwarka, Dwarka, 110077 New Delhi, India",18 reviews,6.6,3 out of 5,Pleasant,yes,yes,no,NA,yes,yes,Continental,NA,double bed,Deluxe Room,"₹ 1,140"
Flagship Padam Residency Near Laxmi Nagar metro,no,"Shakarpur Khas Near Inferno Gym Block U, Delhi, 110092 New Delhi, India",11 reviews,1.9,3 out of 5,Bad,no,no,no,NA,no,no,NA,NA,double bed,Classic Triple Room,₹ 859
OYO Flagship 81062 Hotel Sky,no,"A-91, First to Third Floor, Masudpur Chattarpur, Delhi, 110074 New Delhi, India",4 reviews,5.5,4 out of 5,Passable,no,no,no,NA,no,no,NA,NA,double bed,Deluxe Triple Room,"₹ 1,010"
HOTEL THE PARADISE Near Okhla,no,"43, Main Market Shaheen Bagh, Kalandi Kunj Jasola Road,, 110025 New Delhi, India",24 reviews,6.8,3 out of 5,Pleasant,yes,yes,no,Bar,yes,yes,"Continental, Vegetarian, Asian, American",NA,double bed,Deluxe Room,"₹ 2,024"
FabHotel Hargobind Enclave,yes,"A-129, 129, Hargobind Enclave, A G C R Enclave, Anand Vihar, Delhi, 110092 New Delhi, India",285 reviews,7.2,3 out of 5,Good,no,no,no,NA,no,yes,Continental,NA,double bed,Deluxe Room,"₹ 3,505"
Hotel Gold Souk - Karol Bagh,yes,"7A/35 ,WEA, Karol Bagh, Karol bagh, 110005 New Delhi, India",323 reviews,8.1,3 out of 5,Very good,yes,yes,no,Bar,yes,yes,Continental,NA,double bed,Deluxe Double Room,"₹ 3,604"
Silver Shine New Delhi - COMFORT STAY,yes,"1323 to 1328,sangatrashan chowk paharganj,new delhi-110055, Paharganj, 110055 New Delhi, India",625 reviews,7.5,4 out of 5,Good,yes,yes,no,NA,yes,yes,Continental,single bed,double bed,Deluxe Twin Room,"₹ 1,836"
OYO Flagship Hotel Green Light,yes,"Khasra no-7,  gali no-6, sangam vihar, main jagat pur road, Delhi, 110084 New Delhi, India",NA,NA,4 out of 5,NA,no,no,no,NA,no,yes,NA,NA,double bed,Classic Triple Room,"₹ 1,178"
hotel Vasant near delhi airport,no,"Street Number 3 mahipalpur, Mahipalpur, 110037 New Delhi, India",22 reviews,8.0,3 out of 5,Very good,yes,yes,no,NA,no,no,NA,NA,double bed,Deluxe Double Room,"₹ 2,250"
FabHotel Cabana,yes,"R23 Greater Kailash 1, Greater Kailash 1, 110048 New Delhi, India",273 reviews,7.2,3 out of 5,Good,yes,yes,no,NA,yes,yes,"Continental, Vegetarian, Vegan, Asian",NA,double bed,Deluxe Double Room,"₹ 4,104"
